11691,11
11695,11
11699,129.36
11711,14
11712,7
11715,22
11716,22
11724,10
11734,1.3
11750,10
11751,44
11752,11
11761,16
11763,16
11768,32
11769,16
11780,1.3
11783,3.9000000000001
11785,22
11869,25
11870,14.3
11896,2.6
11897,5.2
11903,22
11908,7
11909,22
11910,10
11915,355.74
11949,1.3
11969,1.3
11992,10.4
12000,10
12011,9.0999999999999
12031,7
12033,7
12040,15
12057,5.2
12071,10
12086,28
12088,258.72
12090,28
12091,129.36
12092,60
12099,50
12130,1.3
12138,14
12146,22
12157,10
12176,15
12181,20
12195,330
12198,15
12260,10
12267,91
12270,35
12271,126
12276,258.72
12280,60
12291,15
12308,1.3
12309,10
12320,22
12326,75
12429,194.04
12431,10
12449,22
12450,7
12456,32.34
12530,1.3
12533,1.3
12583,10
12585,1.3
12592,10
12595,1.3
12612,22
12623,15
12630,7
12633,20
12657,21.34
12690,10
12691,10
12693,161.7
12699,15
12706,32.34
12726,22
12728,22
12748,10
12749,10
12751,10
12784,15
12803,600.07
12816,15
12859,10
12860,75
12951,20
12955,40
12960,10
12991,15
12993,15
12995,15
13015,14
13025,5.2
13028,11
13029,11
13032,42
13056,40
13057,10
13058,10
13134,10.87
13139,228.27
13141,10
13142,1.3
13143,1.3
13159,3.9000000000001
13179,10
13204,22
13266,7
13288,50
13390,10
13433,35
13435,30
13438,10
13439,10
13444,140
13445,105
13449,91
13450,45
13454,7
13460,14
13463,28
13464,14
13475,20
13489,30
13510,10
13514,10
13528,151.2
13529,16.4
13542,15
13558,15
13581,120
13583,1.3
13589,1.3
13596,1.3
13614,44
13646,19
13658,28
13675,30
13682,723.52
13719,30
13773,230
13780,15
13783,3.9
13784,10
13860,30
13900,7
13914,15
13933,21
13955,10
13960,20
13966,22
13970,10
13985,1.3
13987,280
13989,40
13990,50
13991,10
14006,10
14008,30
14009,10
14010,7
14011,10
14017,33
14019,90
14024,21
14033,21
14035,42
14042,20
14064,35
14069,35
14156,15
14160,7
14163,35
14167,35
14173,49
14178,49
14188,7
